S 1 : ['o2', 'm8', 'j2', 'v9', 's5', 'm8', 'f3', 'g0', 'w0', 'm8', 'j2', 's1', 'n0', 'j0', 's7', 'o2', 'r7', 'l0', 't6', 'n2', 'f0', 'u9', 'm3', 'w0', 'd2', 'v8', 't9', 'r6', 'r3', 'o5', 'b5', 'g4']
R 1 : ['l0', 'a4', 'w7', 'm1', 'q5', 'd8', 'w7', 'g8', 'n5', 'd3', 'r0', 'k1', 'r7', 'g9', 'r3', 'o8', 'j3', 'i3', 'a8', 'w7', 'h1', 'r7', 'i8', 'i3', 'd3', 'y0', 'c7', 'e8', 'i4', 'i8', 'd3', 'e5']
S 2 : ['t1', 'q7', 'l3', 'x0', 'n7', 'n4', 'i2', 'i3', 'c3', 'f4', 'm8', 'c1', 'x0', 'w6', 'v4', 'm5', 'f6', 'r0', 't3', 'i2', 'w3', 'k1', 'l6', 'e3', 'y7', 'c0', 'j8', 'd1', 'g6', 'y5', 'w0', 'o4']
R 2 : ['a2', 'b6', 'p7', 'm8', 'd7', 'q5', 'i7', 'w2', 'r4', 'o0', 'd7', 'j6', 'y3', 'r4', 'w7', 'd3', 'u5', 'w0', 'o2', 'v8', 't4', 'p4', 'j6', 'o7', 'j0', 'a2', 'r3', 'g6', 's0', 'i8', 'i8', 'n6']
S 3 : ['c8', 'b1', 'x5', 'v8', 'x6', 'd6', 'f5', 's0', 'h6', 'a7', 'j1', 'q7', 'u3', 'x4', 'p1', 'q7', 'r5', 'd1', 'o5', 'h5', 'h3', 'i3', 'j6', 'k8', 'c7', 'm6', 'f4', 'l5', 'c1', 'h4', 'l2', 'k1']
R 3 : ['m6', 'n4', 'l8', 'p4', 'p1', 'l6', 'i8', 'l2', 'c2', 'o0', 'b6', 'x8', 'd3', 'u7', 'c6', 'g6', 'k2', 'i4', 'i8', 'j0', 'f5', 'j0', 'm5', 'k7', 'i8', 'i8', 'p1', 'h0', 'j6', 'q3', 'i8', 'i8']
S 4 : ['e3', 's2', 'h3', 'h2', 'h1', 'v6', 'f0', 'a1', 'k8', 'j5', 'w3', 'k9', 'q9', 'm2', 'u6', 'e6', 'q9', 'a5', 'h0', 'p9', 't1', 'm9', 'x1', 'b7', 'd2', 'e2', 'c4', 't2', 's0', 'e1', 'h7', 'w4']
R 4 : ['h9', 'q0', 'm7', 'g3', 'c6', 'd9', 'k0', 'p7', 'f4', 'i0', 'm8', 'j3', 'a9', 'h1', 'f4', 'n5', 'f5', 'u1', 'm6', 'x0', 'a4', 'b4', 'a9', 'w2', 'r5', 't4', 'x8', 'o8', 'c3', 'f1', 'r6', 'i8']
S 5 : ['l8', 'y5', 'v6', 'b8', 'i2', 'e0', 's9', 'f3', 'm3', 'f6', 'y9', 'b7', 'r5', 's6', 's3', 'o8', 'v6', 'f8', 'l3', 'l7', 'r8', 'v3', 'c7', 'y8', 'g9', 'l9', 'f4', 'h1', 'p2', 'y6', 's7', 'b7']
R 5 : ['a4', 'n5', 'd1', 'm5', 'i6', 'r6', 'c3', 'a7', 'l6', 'r4', 't6', 'e5', 'd0', 'i2', 'm1', 'c0', 'n5', 'a9', 'a2', 'a5', 'a6', 'r0', 's0', 'y7', 'p9', 'c3', 'p4', 'y1', 'u5', 'd3', 'i7', 'm5']
S 6 : ['c5', 'p2', 'h2', 'a2', 'k9', 'v3', 't4', 'i6', 'p8', 'n9', 'y9', 'a9', 'o0', 'x5', 'k0', 'b9', 'x9', 'v9', 'l1', 'q4', 'f4', 'i6', 'n9', 'i2', 'r3', 'g6', 'j8', 'b7', 'm8', 'c7', 'w4', 'k9']
